D.O.B.	Dam	Dam Genotype	Sire	Sire Genotype	Wean Date	Ear Tag	Sex	Genotype
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2804	M	KO/+
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2805	M	KO/KO
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2806	M	KO/+
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2807	M	KO/KO
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2808	F	KO/+
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2809	F	KO/KO
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2810	F	WT
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2811	F	KO/+
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2812	F	KO/KO
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2813	F	KO/+
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2814	F	KO/+
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2815	F	WT
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2816	F	WT
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2817	M	KO/+
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2818	M	KO/+
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2819	M	KO/KO
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2827	F	KO/KO
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2828	F	KO/+
7/10/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+		T2829	M	KO/+
7/12/2016	n/a	129X1/SvJ  	n/a	129X1/SvJ  		n/a	M	129X1/SvJ  
7/12/2016	n/a	129X1/SvJ  	n/a	129X1/SvJ  		n/a	M	129X1/SvJ  
7/12/2016	n/a	129X1/SvJ  	n/a	129X1/SvJ  		T00615	F	129X1/SvJ  
7/12/2016	n/a	129X1/SvJ  	n/a	129X1/SvJ  		T00616	F	129X1/SvJ  
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2891	F	KO/+
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2892	F	KO/KO
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2893	F	WT
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2894	F	WT
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2895	M	KO/+
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2896	M	KO/KO
8/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/30/2016	T2897	M	KO/KO
9/8/2016	T2379	Rex2-cl. KO/KO	T2680	Rex2-cl. KO/KO	9/30/2016	T2946	M	KO/KO (F2)
9/8/2016	T2379	Rex2-cl. KO/KO	T2680	Rex2-cl. KO/KO	9/30/2016	T2947	M	KO/KO (F2)
10/3/2016	T2613	Rex2 KO/KO	T2682	Rex2 KO/KO	10/24/2016	T3908	M	KO/KO (F2)
10/3/2016	T2613	Rex2 KO/KO	T2682	Rex2 KO/KO	10/24/2016	T3909	F	KO/KO (F2)
10/3/2016	T2613	Rex2 KO/KO	T2682	Rex2 KO/KO	10/24/2016	T3910	F	KO/KO (F2)
10/3/2016	T2613	Rex2 KO/KO	T2682	Rex2 KO/KO	10/24/2016	T3911	F	KO/KO (F2)
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3912	F	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3913	F	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3914	F	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3915	F	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3916	M	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3917	M	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3918	M	B6/129 F1 KO/+
10/2/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	10/24/2016	T3919	M	B6/129 F1 KO/+
10/3/2016	T00616	129X1/SvJ  	T2610	Rex2 KO/KO	n/a	T3920	M	B6/129 F1 KO/+
10/3/2016	T00616	129X1/SvJ  	T2610	Rex2 KO/KO	n/a	T3921	M	B6/129 F1 KO/+
10/3/2016	T00616	129X1/SvJ  	T2610	Rex2 KO/KO	n/a	T3922	M	B6/129 F1 KO/+
10/10/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/1/2016	T3953	M	KO/KO (F2)
10/10/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/1/2016	T3954	M	KO/KO (F2)
10/10/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/1/2016	T3955	F	KO/KO (F2)
10/10/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/1/2016	T3956	F	KO/KO (F2)
10/27/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	11/18/2016	T3978	F	KO/+
11/2/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/2/2016	T0033	M	KO/+
11/2/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/2/2016	T0034	M	WT
11/2/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/2/2016	T0035	F	KO/+
11/2/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/2/2016	T0036	F	KO/+
11/2/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/2/2016	T0037	F	KO/KO
11/2/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/2/2016	T0038	F	KO/KO
10/29/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	11/22/2016	T0044	M	KO/KO
10/29/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	11/22/2016	T0045	M	KO/+
10/29/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	11/22/2016	T0046	M	KO/+
10/29/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	11/22/2016	T0047	M	KO/KO
10/29/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	11/22/2016	T0048	F	KO/+
10/29/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	11/22/2016	T0049	F	KO/KO
11/5/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/26/2016	T00050	M	KO/KO (F2)
11/5/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/26/2016	T00051	M	KO/KO (F2)
11/5/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/26/2016	T00052	F	KO/KO (F2)
11/5/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/26/2016	T00053	F	KO/KO (F2)
11/5/2016	T2827	Rex2 KO/KO	T2680	Rex2 KO/KO	11/26/2016	T00054	F	KO/KO (F2)
11/24/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	12/16/2016	T00080	M	KO/+
11/24/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	12/16/2016	T00081	M	KO/KO
11/24/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	12/16/2016	T00082	M	KO/+
11/24/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	12/16/2016	T00083	M	KO/KO
11/24/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	12/16/2016	T00084	F	KO/KO
11/24/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	12/16/2016	T00085	F	KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00092	M	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00093	M	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00094	M	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00095	M	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00096	F	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00097	F	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00098	F	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00099	F	B6/129 F1 KO/+
11/26/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	12/15/2016	T00100	F	B6/129 F1 KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00105	M	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00106	M	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00107	M	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00108	M	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00109	M	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00110	M	WT
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00111	M	WT
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00112	M	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00140	F	KO/KO
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00141	F	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00142	F	KO/+
10/29/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	11/21/2016	T00143	F	WT
11/3/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	11/27/2016	T00120	F	B6/129 F1 KO/+
11/3/2016	T2594	Rex2 KO/KO	n/a	129X1/SvJ  	11/27/2016	T00121	F	B6/129 F1 KO/+
11/16/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/7/2016	T00131	F	KO/KO
11/16/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/7/2016	T00132	F	KO/KO
11/16/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/7/2016	T00133	F	KO/+
11/16/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/7/2016	T00134	F	KO/+
11/16/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/7/2016	T00147	M	KO/KO
11/16/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/7/2016	T00148	M	KO/KO
10/22/2016	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	11/12/2016	T00135	F	B6/129 F1 KO/+
10/22/2016	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	11/12/2016	T00136	F	B6/129 F1 KO/+
10/22/2016	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	11/12/2016	T00137	M	B6/129 F1 KO/+
10/22/2016	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	11/12/2016	T00138	M	B6/129 F1 KO/+
10/22/2016	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	11/12/2016	T00139	M	B6/129 F1 KO/+
11/21/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	12/12/2016	T00157	F	KO/+
11/21/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	12/12/2016	T00158	F	KO/KO
11/21/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	12/12/2016	T00159	F	KO/+
11/21/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	12/12/2016	T00160	F	KO/+
11/21/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	12/12/2016	T00161	M	KO/+
?	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	1/5/2017	T00174	M	B6/129 F1 KO/+
?	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	1/5/2017	T00175	F	B6/129 F1 KO/+
?	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	1/5/2017	T00176	F	B6/129 F1 KO/+
?	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	1/5/2017	T00179	F	B6/129 F1 KO/+
?	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	1/5/2017	T00180	F	B6/129 F1 KO/+
?	T00615	129X1/SvJ  	T2609	Rex2 KO/KO	1/5/2017	T00181	F	B6/129 F1 KO/+
12/9/2016	T00616	129X1/SvJ  	T2610	Rex2 KO/KO	12/31/2016	T00187	F	B6/129 F1 KO/+
12/9/2016	T00616	129X1/SvJ  	T2610	Rex2 KO/KO	12/31/2016	T00188	F	B6/129 F1 KO/+
12/9/2016	T00616	129X1/SvJ  	T2610	Rex2 KO/KO	12/31/2016	T00189	F	B6/129 F1 KO/+
11/30/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/20/2016	T00200	M	KO/KO
11/30/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/20/2016	T00201	M	KO/KO
