TE	KAP1_Mean	KAP1_log2fold	KAP1_qvalue	H3K9me3_Mean	H3K9me3_log2fold	H3K9me3_qvalue
RLTR43A	979.3435027	-0.052982027	0.998128723	1091.077553	-0.077721315	NA
Charlie12	3964.600365	-0.052336488	0.940706763	3115.13509	-0.015294085	NA
MER76-int	83.35570663	-0.05086802	0.998128723	75.80940492	-0.084133226	NA
RLTR9A2	2262.694427	-0.050412096	0.998128723	2057.687531	-0.046748765	NA
MER94	1376.829942	-0.050399222	0.998128723	1071.374421	-0.006806563	NA
RLTR6_Mm	13353.28749	-0.049902616	0.998128723	16515.02187	-0.041020834	0.829250513
IAPEY2_LTR	16987.85793	-0.049456292	0.998128723	15033.30308	-0.04100718	NA
L1M2c	1811.985991	-0.04818225	0.998128723	1491.040154	0.032096462	NA
LTR86B2	150.9582912	-0.047771296	0.998128723	107.9781926	0.000708453	NA
IAPLTR4	4978.584835	-0.047722454	0.998128723	7057.190915	-0.041968719	NA
RLTR13A3	4450.921922	-0.047382324	0.998128723	5658.320969	-0.007110776	NA
IAPEY3-int	50819.47626	-0.046943544	0.998128723	82702.79536	-0.083586458	0.506622449
RLTR25A	26425.16911	-0.04623449	0.940706763	24557.56393	-0.022616865	0.906595541
LTR16D2	283.7970573	-0.04595782	0.998128723	235.1129172	-0.054288875	NA
Charlie21a	771.9984415	-0.045864183	0.998128723	641.1117277	0.060443055	NA
L1M7	1236.207829	-0.045539622	0.998128723	1078.39423	0.01519984	NA
MLT1E1A	5596.623331	-0.045441031	0.998128723	4603.001777	-0.002214573	NA
MER57C2	1931.759624	-0.044625092	0.998128723	1526.313836	-0.055478885	NA
MURVY-LTR	8234.455313	-0.043957127	0.998128723	8445.147713	-0.029713986	NA
LTR69	378.2696964	-0.043803961	0.998128723	299.0533111	0.090600637	NA
RLTR44A	1828.727191	-0.043368453	0.998128723	1987.395671	-0.024944633	NA
MLT1J2-int	163.809539	-0.042961655	0.998128723	124.3130486	0.018896492	NA
MER67D	2461.450544	-0.042957524	0.998128723	2047.970188	-0.076699393	NA
MamGypLTR2b	387.9086143	-0.042544333	0.998128723	320.1880371	-0.069897357	NA
MurERV4_19-int	10791.03108	-0.042524296	0.966766799	11064.31345	-0.026819561	NA
MER72	32.4369714	-0.042230379	0.940706763	24.40608726	-0.009240961	NA
ETnERV3-int	18926.66607	-0.041509154	0.998128723	24761.12061	-0.058812769	0.558869559
RLTR10D	7294.655135	-0.041436474	0.998128723	9313.477208	-0.073810076	NA
MER57A-int	959.2861661	-0.041350818	0.998128723	745.7010351	0.020030145	NA
LTR90A	362.7083872	-0.041043206	0.998128723	278.9233363	-0.019559287	NA
Tigger10	1091.933498	-0.04102594	0.998128723	859.8084366	0.051359733	NA
RLTR22_Mur	25764.23032	-0.040231554	0.998128723	23674.52628	-0.019046477	0.892371926
MER87	167.1442606	-0.040112872	0.998128723	138.0019219	0.01914252	NA
Charlie16a	726.4664581	-0.039918323	0.998128723	584.2760809	0.07068579	NA
ORR1C1-int	9082.517839	-0.039684556	0.998128723	8556.364485	-0.066642928	NA
RLTR1C	6553.861386	-0.039523412	0.998128723	7845.975062	-0.013287938	NA
LTR45	82.69029351	-0.039412139	0.998128723	76.39605553	0.039673668	NA
MER105	637.3021821	-0.039337816	0.998128723	465.3700224	0.064705529	NA
MLT1H1-int	277.2618709	-0.039079717	0.998128723	245.1991576	0.045614685	NA
LTR37B	1630.907095	-0.038941757	0.998128723	1366.054685	0.015933172	NA
RLTR13D5	8974.629433	-0.038329132	0.998128723	9009.724748	-0.031854716	NA
Charlie26a	372.3279187	-0.037958974	0.998128723	291.2092089	0.020788285	NA
Charlie7a	299.0147034	-0.037801267	0.998128723	241.497279	0.060849685	NA
MER76	1242.510553	-0.037716888	0.998128723	1107.614083	-0.062889109	NA
LTR16A1	3379.855679	-0.037322339	0.998128723	2741.430228	0.009539442	NA
Charlie10a	225.1763919	-0.036850645	0.998128723	177.2939686	0.018288674	NA
L1Md_F	170760.6494	-0.036225467	0.998128723	240144.7576	-0.071136112	0.506622449
MLT1A-int	688.1948517	-0.036160846	0.998128723	543.7666773	0.01489048	NA
RLTR9A	13905.86166	-0.036033523	0.998128723	12265.84098	-0.042304629	NA
MamGypLTR1a	572.5385345	-0.035897534	0.998128723	431.0881253	0.012965764	NA
MuLV-int	6463.213682	-0.03576645	0.998128723	9253.246888	-0.061882693	NA
RMER6D	16481.59185	-0.035690365	0.998128723	15405.47582	0.007347361	NA
MER44C	1248.000303	-0.035497061	0.998128723	996.0006867	-0.012184635	NA
ORSL	965.5435818	-0.035440163	0.998128723	750.8454657	0.018714488	NA
RMER16	15267.06643	-0.034395663	0.998128723	13110.59482	0.003776776	NA
RLTR4_Mm	3265.796481	-0.034395621	0.998128723	4962.879307	-0.063182815	NA
LTR40c	1239.893475	-0.034156593	0.998128723	920.157107	-0.00486154	NA
RLTR44E	1247.765996	-0.034125182	0.998128723	1165.631499	-0.014958413	NA
Charlie17a	291.6676398	-0.033548413	0.998128723	191.9839288	0.133084147	NA
MLT1-int	1341.813312	-0.03345964	0.998128723	1148.257125	-0.042016277	NA
L1MA10	3640.073224	-0.032100827	0.998128723	3186.002144	-0.000148029	NA
RLTR13C1	7615.318423	-0.031939555	0.998128723	8481.497715	-0.064609596	NA
RMER19A	21320.7768	-0.031652204	0.998128723	19572.23559	0.00158433	0.990130733
MERVK26-int	10797.68476	-0.031538582	0.998128723	10519.66491	-0.030267818	NA
MamGypLTR2	273.4755179	-0.031537074	0.998128723	236.6769125	-0.038329938	NA
LTR41	2419.713851	-0.030391122	0.998128723	1709.287008	0.029632739	NA
L1MEb	1794.539939	-0.030352063	0.998128723	1402.664334	0.019062144	NA
L1MCa	18653.17397	-0.030085992	0.998128723	15590.18439	0.001235977	NA
L1M3b	884.933853	-0.029952398	0.998128723	742.8129485	-0.03319293	NA
RLTR20A1	1302.973167	-0.02989069	0.998128723	1030.90302	-0.005592885	NA
LTR33C	1069.627791	-0.029474117	0.998128723	843.9674609	-0.05159416	NA
RLTR19B	1800.17327	-0.029412289	0.998128723	1571.109267	-0.072427454	NA
RLTR13A	6936.684017	-0.028905621	0.998128723	8110.585768	-0.019553167	NA
RLTR45-int	27533.7819	-0.028714541	0.998128723	33398.83587	-0.046698058	0.688259486
MER99	913.1797663	-0.028589582	0.998128723	713.1524797	0.010596975	NA
MLT1L-int	65.55830527	-0.028129892	0.998128723	45.59721327	-0.024646321	NA
Looper	1044.792627	-0.027533024	0.998128723	797.9998459	-0.008800564	NA
BGLII	17537.14724	-0.027506257	0.998128723	17249.41462	-0.030155816	0.887914991
MER70B	1368.16311	-0.027101977	0.998128723	1026.189037	0.013908598	NA
RLTR41	13767.26404	-0.026644637	0.998128723	13279.03879	-0.029229939	NA
MER45B	3468.958096	-0.026572312	0.998128723	2841.844004	-0.02458779	NA
LTR55	863.9821954	-0.026564466	0.998128723	695.1479879	0.035658009	NA
RLTR25B	29305.05185	-0.026274551	0.998128723	26209.64354	-0.029849178	0.806565376
IAPLTR3	1450.685354	-0.026140456	0.998128723	1850.414153	-0.026815271	NA
HERVL40-int	968.996824	-0.026023939	0.998128723	778.1205904	-0.062315761	NA
HERVL74-int	819.9728198	-0.025879282	0.998128723	667.674391	-0.018988169	NA
MER83B-int	31.66116928	-0.025846375	0.998128723	26.0859396	0.013447128	NA
LTR50	2374.128997	-0.02558761	0.998128723	1845.194669	0.055997718	NA
MER57E2	166.3416079	-0.025063229	0.998128723	139.3251248	0.029300479	NA
L1Md_T	870426.4908	-0.024813406	0.998128723	1008139.486	-0.058154345	0.578078726
MARNA	2342.919636	-0.024655067	0.998128723	1818.525536	0.009939447	NA
RMER16-int	53650.00965	-0.024458956	0.998128723	58208.91076	-0.074626731	0.506622449
Ricksha_a	87.9766952	-0.024304536	0.998128723	69.16679412	-0.020394362	NA
RMER17A-int	2619.813375	-0.02421676	0.998128723	2397.312451	0.014768537	NA
L1M	1235.138329	-0.024073093	0.998128723	1015.027784	-0.006670501	NA
MYSERV-int	11892.90867	-0.024052878	0.998128723	10644.22285	0.001986777	NA
L5	503.4566095	-0.023914373	0.998128723	398.725936	0.026843923	NA
LTR64	25.08518323	-0.023817786	0.998128723	18.41199642	-0.011438807	NA
ORR1A0-int	10685.40011	-0.023781354	0.998128723	11171.60453	-0.05873711	NA
MLT1K-int	57.83199139	-0.023576347	0.998128723	48.22033329	-0.038694109	NA
Charlie25	1678.327038	-0.023515872	0.998128723	1364.154278	-0.005382253	NA
Tigger14a	753.5721008	-0.023388768	0.998128723	578.16805	-0.007025542	NA
MLT1E	2563.72467	-0.023325192	0.998128723	2075.151079	0.034078399	NA
MMERGLN-int	23587.20415	-0.023284746	0.998128723	39186.44903	-0.068909743	0.578078726
Lx2A	13845.05816	-0.023028052	0.998128723	12234.81152	-0.044320651	NA
MER57-int	250.7023245	-0.022866472	0.998128723	200.9625234	-0.024150926	NA
RMER6C	40704.64652	-0.022818426	0.998128723	38656.17073	0.013244137	0.917421528
LTR84a	598.6029064	-0.022210513	0.998128723	465.0738989	0.071918579	NA
L1M3f	470.7663169	-0.02199267	0.998128723	379.1044278	-0.016958608	NA
RLTR9F	3367.320964	-0.021853208	0.998128723	3472.835187	-0.057124115	NA
L1MD1	13154.96886	-0.021531299	0.998128723	10806.21237	0.017310309	NA
RLTR23	19072.7633	-0.021525747	0.998128723	16227.87135	-0.0264504	0.772607371
Tigger16a	617.0956003	-0.021463208	0.998128723	441.0132789	-0.005189081	NA
LTR16B	1280.581063	-0.021193944	0.998128723	1004.293665	0.00446763	NA
LTRIS_Mus	10283.04975	-0.021136834	0.998128723	12222.07903	-0.042313525	NA
MER101B	68.56273478	-0.020916006	0.998128723	62.31056861	0.022377506	NA
MLT1G3	5337.268247	-0.020883457	0.998128723	4196.55137	-0.025571449	NA
L1Md_A	563471.0389	-0.020840092	0.998128723	652456.319	-0.038504322	0.688259486
RLTR44C	1872.666409	-0.020626048	0.998128723	1906.028384	-0.056618133	NA
RMER17A	15843.68516	-0.020598125	0.998128723	13499.71252	-0.009557891	NA
MER83A-int	8.891484596	-0.020293465	0.998128723	7.231639266	-0.014547526	NA
RLTR1B-int	12561.51058	-0.02003559	0.998128723	18172.97693	-0.049664471	0.705575809
RLTR28B	4723.908203	-0.019843066	0.998128723	3547.593939	0.029552927	NA
Charlie18a	860.8758103	-0.019750246	0.998128723	669.3966765	0.063309091	NA
LTR37A	2224.148612	-0.019712662	0.998128723	1826.933774	0.055232194	NA
RMER20B	20398.73451	-0.019369672	0.998128723	16196.56678	-0.011265755	0.939739616
MLT1J-int	2599.963658	-0.019304324	0.998128723	2117.288206	0.013825456	NA
RLTR28	15329.13474	-0.018287911	0.998128723	11789.18343	0.024040611	NA
MER91B	647.6727368	-0.01821853	0.998128723	444.7025696	0.038237611	NA
ORR1C2-int	9862.127774	-0.018203423	0.998128723	9375.338977	-0.055862828	NA
LTR33A	2268.753669	-0.018122827	0.998128723	1768.805683	0.037371336	NA
RLTR20B3	14218.70082	-0.017877563	0.998128723	11397.00684	-0.035183167	NA
Tigger9b	1681.686628	-0.017512452	0.998128723	1305.3434	0.056382548	NA
MER77	4366.495779	-0.017424709	0.998128723	3520.766203	0.001616468	NA
RLTR19-int	16440.07224	-0.017401739	0.998128723	14325.0701	-0.013660783	NA
HAL1b	2268.289093	-0.017381898	0.998128723	1934.6683	-0.020756191	NA
Tigger11a	358.1312486	-0.017262045	0.998128723	294.4049495	0.067573524	NA
RMER21A	5042.238165	-0.017071495	0.998128723	3594.814616	0.016117472	NA
MLT1G-int	187.3308616	-0.016974923	0.998128723	156.0131474	-0.017511945	NA
MER54B	655.5228007	-0.01643149	0.998128723	512.4790732	-0.009432231	NA
L1_Mus4	138494.4125	-0.016236244	0.998128723	123817.2476	-0.007874201	0.939739616
MamGypLTR1c	560.6261404	-0.016066813	0.998128723	455.6898475	-0.02681235	NA
MLT2B2	6425.637068	-0.01589386	0.998128723	5337.947558	-0.030447753	NA
RMER17D2	13113.35534	-0.01565755	0.998128723	10945.53664	-0.016855063	NA
RLTR31_Mm	9557.969759	-0.015246117	0.998128723	7815.580466	0.002030982	NA
MYSERV16_I-int	24540.58105	-0.015030744	0.998128723	22685.58046	-0.019282682	0.906595541
MER66B	18.70122013	-0.01488753	0.998128723	13.48443582	0.011626813	NA
Lx3B	52970.50823	-0.014829115	0.998128723	44779.01419	-0.0181145	0.892371926
BLACKJACK	3922.312522	-0.014819013	0.998128723	3379.850631	-0.058321029	NA
MER66A	16.0870806	-0.01461807	0.998128723	7.443355242	0.004208449	NA
Tigger12A	309.7445622	-0.014432122	0.998128723	242.3100472	-0.054393407	NA
L1Md_F2	1249427.325	-0.014397546	0.998128723	1364900.375	-0.049421254	0.506622449
RMER19C	42625.9826	-0.014313868	0.998128723	39111.68727	-0.011750981	0.906595541
RLTR44D	767.1124775	-0.014308709	0.998128723	846.5110388	0.004845568	NA
Kanga1d	490.1757893	-0.014291089	0.998128723	378.974286	-0.017642327	NA
Kanga1	1524.042496	-0.014257981	0.998128723	1230.414902	0.068389716	NA
MLT2B5	1894.276666	-0.014212142	0.998128723	1520.088839	-0.02813634	NA
RMER6-int	4729.826059	-0.013727477	0.998128723	4323.811525	0.013193111	NA
B3A	349160.8751	-0.013723839	0.998128723	271860.5618	0.004086616	0.952317802
LTR65	763.4166477	-0.013673994	0.998128723	605.2753927	-0.05695602	NA
L1VL4	137231.7323	-0.01364472	0.998128723	145595.0026	-0.030492418	0.772607371
RMER12	32489.83094	-0.013574413	0.998128723	27631.13884	-0.014025374	0.906595541
RMER19B	61878.97151	-0.013435089	0.998128723	55042.67066	-0.014578738	0.906595541
MER34A1	2502.987788	-0.013320843	0.998128723	2007.135285	0.00661771	NA
Tigger6a	2362.832795	-0.013245932	0.998128723	1878.211476	0.009853533	NA
Lx2A1	23176.58015	-0.013190919	0.998128723	20139.05496	-0.008996344	0.947679585
Lx6	242030.3828	-0.012951013	0.998128723	206786.6954	-0.019420506	0.803108924
ORR1A3-int	16213.51859	-0.012596543	0.998128723	14542.68656	-0.010114054	NA
RLTR42-int	13418.91067	-0.012590233	0.998128723	11031.56394	0.009953763	NA
LTR86B1	173.4146133	-0.012582586	0.998128723	129.176175	-0.027414945	NA
MusHAL1	56276.86396	-0.012528626	0.998128723	58247.53004	-0.01553526	0.912071984
MER63A	2426.796066	-0.012403438	0.998128723	1942.921998	-0.023632795	NA
L1MCc	2314.013322	-0.012294574	0.998128723	1933.525925	0.086665103	NA
RMER3D1	3.501149756	-0.011829563	0.998128723	2.756321167	-0.009990925	NA
LTR75	477.5533452	-0.011769134	0.998128723	329.7617056	-0.000617093	NA
MER58C	1286.962823	-0.011753486	0.998128723	959.4066098	-0.073627788	NA
MER47C	40.9642569	-0.011750353	0.998128723	28.37257668	-0.039539795	NA
LTR16E1	2199.113451	-0.011549059	0.998128723	1753.183486	0.017475678	NA
LTR86A1	390.2573369	-0.011470622	0.998128723	281.1599546	-0.020330549	NA
MYSERV6-int	32666.77356	-0.011442176	0.998128723	30544.57907	-0.015903336	0.906595541
L1MC4a	17382.22091	-0.011362135	0.998128723	13984.54732	0.010064419	NA
RLTR10A	8535.194121	-0.011274217	0.998128723	9601.566944	-0.047787451	NA
MER110A	810.5487589	-0.01123291	0.998128723	702.7840648	-0.032054834	NA
RMER13B	22361.20154	-0.011225179	0.998128723	18069.31256	-0.024573962	0.904804207
L1M2	100275.2029	-0.011164339	0.998128723	86390.78766	0.006353717	0.952317802
LTR75_1	37.3814701	-0.011163693	0.998128723	32.57308419	0.0224075	NA
RLTR12B	19513.59156	-0.011082668	0.998128723	15805.89703	-0.032466806	NA
MamGypLTR3	478.4993257	-0.011016049	0.998128723	328.9954283	-0.021935002	NA
MMTV-int	2647.277367	-0.01084494	0.998128723	3192.329063	0.048916781	NA
RLTR13D3	8326.335058	-0.010779817	0.998128723	8659.261066	-0.022065287	NA
Lx4A	101283.2356	-0.010729579	0.998128723	85579.23328	-0.031325355	0.579767864
Charlie7	4118.106115	-0.010691657	0.998128723	3370.413737	0.014125838	NA
Alu_5	39.36312975	-0.010153573	0.998128723	31.04679332	0.010561772	NA
L1_Mus3	296306.5475	-0.01011754	0.998128723	266515.0109	-0.011787199	0.906595541
RMER4B	32374.3087	-0.009839776	0.998128723	26700.4175	-0.01650338	0.829250513
L1MD3	10805.05737	-0.009745503	0.998128723	8742.119946	0.003700002	NA
Lx3A	81852.16902	-0.009582882	0.998128723	68853.88181	-0.019259009	0.846958939
B3	617083.2926	-0.00957881	0.998128723	477872.4294	0.012680194	0.892371926
Lx4B	102081.8609	-0.009567682	0.998128723	86943.51276	-0.027349879	0.578078726
LTR59	25.51333571	-0.00939659	0.998128723	19.96883924	-0.010123197	NA
L1_Mur2	174383.6663	-0.009303881	0.998128723	163776.4044	-0.008225721	0.952317802
MLT1B-int	849.2375292	-0.00928595	0.998128723	720.423814	0.04365176	NA
Lx7	298965.9829	-0.009244063	0.998128723	252921.9461	-0.002106104	0.990130733
L1M3d	789.5924421	-0.009006438	0.998128723	705.8187741	-0.046742342	NA
Charlie1a	14949.77047	-0.008981645	0.998128723	11977.1166	0.025035309	NA
Tigger2b	858.0223436	-0.008968782	0.998128723	667.8472636	-0.011425285	NA
Charlie19a	1013.389149	-0.008915796	0.998128723	784.698042	-0.007220803	NA
L1Md_F3	231758.8948	-0.008911244	0.998128723	251625.7309	-0.035637386	0.685401235
MamRep137	1202.152694	-0.008901788	0.998128723	996.0867783	0.009079952	NA
MER58D	882.3046615	-0.008790358	0.998128723	677.6132392	-0.035789706	NA
LTR84b	821.3316824	-0.008747301	0.998128723	661.6496186	0.075572744	NA
LTR9	42.07399169	-0.008718736	0.998128723	29.07652928	0.00122642	NA
Lx2B	124622.948	-0.008697217	0.998128723	106393.2664	-0.012292649	0.906595541
ORR1B2	47185.58739	-0.008686085	0.998128723	39136.7382	-0.0105703	0.952317802
LTR77	76.26726325	-0.008494224	0.998128723	56.83366468	-0.037815584	NA
L1M3e	3426.038392	-0.008454415	0.998128723	2785.761052	-0.024135954	NA
RLTR20B1	4069.447805	-0.008437881	0.998128723	3239.883705	-0.02195894	NA
MER51-int	20.69345882	-0.008356886	0.998128723	17.33530777	0.032471091	NA
Charlie24	1756.337791	-0.008201858	0.998128723	1449.259225	-0.048259874	NA
MLT1A0-int	1421.881801	-0.008155268	0.998128723	1108.975363	0.08105561	NA
MLT1G1	5267.016219	-0.008148401	0.998128723	4164.844762	-0.015671354	NA
Lx	266310.4578	-0.008018695	0.998128723	232065.6915	-0.01243414	0.904804207
LTR80A	561.3327865	-0.007972553	0.998128723	445.536628	-0.062155282	NA
Lx2	174414.4337	-0.007963825	0.998128723	150386.8699	-0.029380137	0.578078726
MLT1A	21838.47039	-0.007885932	0.998128723	17623.09155	0.012319821	0.906595541
LTR33B	1455.813562	-0.007878568	0.998128723	1144.042293	-0.043980127	NA
MTB-int	7264.923928	-0.007426618	0.998128723	6222.339823	-0.011358222	NA
LTR36	9.955539439	-0.007422453	0.998128723	8.169913866	0.02878277	NA
L1MA4A	14836.69493	-0.007331133	0.998128723	12308.80779	0.025518945	NA
ERVL-B4-int	9188.28275	-0.007202826	0.998128723	7358.553511	-0.014316547	NA
L1M3	33557.22953	-0.007145013	0.998128723	28416.74314	0.009870244	0.952317802
RMER3D-int	22405.48274	-0.007143041	0.998128723	22971.22174	-0.037250343	0.605338875
RLTR26	14915.16948	-0.006842689	0.998128723	12066.52869	0.001570377	NA
L3b	5240.407794	-0.00675411	0.998128723	4531.421177	0.012882751	NA
Tigger9a	874.4216678	-0.00668597	0.998128723	677.1847222	0.050530824	NA
MTEb	55876.15198	-0.00650668	0.998128723	45154.47785	0.011945296	0.906595541
MLT1F-int	2165.776597	-0.006433597	0.998128723	1792.813963	-0.019572606	NA
RLTR19	7668.92852	-0.006391849	0.998128723	6233.750465	0.021118732	NA
MER95	225.9387157	-0.00628369	0.998128723	169.2747947	0.078781469	NA
MuRRS-int	11125.52449	-0.006116936	0.998128723	14865.26716	-0.075971787	NA
MLT1E3	5069.37113	-0.006059677	0.998128723	4046.312022	0.001141519	NA
Lx9	328734.8582	-0.005906832	0.998128723	275146.2892	0.000504384	0.990130733
Tigger1	7120.737106	-0.005696785	0.998128723	5838.88729	-0.001902363	NA
L1_Mur3	216530.2145	-0.005648729	0.998128723	194107.1426	-0.006796333	0.952317802
L1MB8	31698.717	-0.005611876	0.998128723	25397.10691	0.018866568	0.906595541
ORR1B1-int	27274.76506	-0.005548679	0.998128723	23557.77159	-0.004908778	0.952317802
RLTR16	14556.34735	-0.005541443	0.998128723	11653.11433	-0.037841041	NA
