Column1	AW146154	Gm13051	Gm13139	Gm13152	Gm13154	Gm13157	Gm21082	Gm30910	LOC102	Rex2	Zfp46	Zfp534	Zfp599	Zfp600	Zfp617	Zfp661	Zfp810	Zfp882	Zfp961
Lx8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0
Lx9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
MamGypLTR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
MamRep1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
MMERGLN-int	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	1
MMERVK10C-int	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMETn-int	0	300	1	0	1	0	4	0	0	169	0	0	0	2	0	0	0	0	213
MMTV-int	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MurERV4_19-int	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MurERV4-int	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MuRRS4-int	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
MURVY-int	0	0	0	1	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0
MYSERV6-int	38	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORR1A0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	141	0	0	0	0
ORR1A0-int	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ORR1A1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	129	1	0	0	0
ORR1A2	0	0	0	0	0	0	0	0	1	0	0	0	12	0	266	0	0	0	0
ORR1A2-int	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
ORR1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0
ORR1A4	1	0	0	0	0	0	0	0	0	0	0	0	44	0	80	0	0	0	0
ORR1A4-int	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ORR1B1	0	0	0	0	0	0	0	0	0	0	0	0	183	0	87	3	0	1	0
ORR1B2	2	0	0	0	0	0	0	0	0	0	0	0	65	0	23	3	1	0	0
ORR1C1	0	0	0	0	0	0	0	0	0	0	0	0	38	0	17	0	0	0	0
ORR1C2	0	0	0	0	0	0	0	0	1	0	0	0	18	0	12	0	0	0	0
ORR1D1	0	0	0	0	0	0	0	0	1	0	0	0	111	0	1	0	0	0	0
ORR1D2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	12	0	2	1
RLTR11A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
RLTR13A	0	1	0	287	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
RLTR13A2	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RLTR13A3	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
RLTR13B1	0	0	0	300	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
RLTR13B2	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
RLTR13B3	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RLTR13B4	0	0	0	296	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RLTR13C2	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RLTR13D1	0	0	0	170	0	0	0	0	87	0	0	0	0	0	1	0	0	0	1
RLTR13D6	0	0	1	160	5	0	0	0	11	0	0	0	1	0	0	0	0	0	1
RLTR15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
RLTR23	0	0	0	22	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RLTR3_Mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
RLTR45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	114
RLTR45-int	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
RLTR6-int	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
RLTR9A	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	7
RLTR9B	0	5	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
RLTR9B2	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	5
RLTR9C	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	17
RLTR9D	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	5	0	3
RLTR9E	0	0	0	2	266	1	0	0	12	0	0	0	0	0	0	1	0	2	60
RLTRETN_Mm	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	2	0	0	300
RMER15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5
RMER16	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	2
RMER16-int	0	0	297	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
RMER17A2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RMER19B	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNLTR23	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Tigger16a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
